order_id,payment_type,payment_installments,payment_value
ORD000095,credit_card,1,190.18
ORD000096,boleto,1,1179.06
ORD000097,credit_card,6,352.13
ORD000098,boleto,1,1082.26
ORD000099,credit_card,1,283.02
ORD000100,debit_card,1,89.19
ORD000101,credit_card,2,32.95
ORD000102,voucher,1,540.36
ORD000103,credit_card,6,137.02
ORD000104,boleto,1,1439.0
ORD000105,credit_card,3,245.2
ORD000106,credit_card,1,1342.86
ORD000107,credit_card,3,74.86
ORD000108,voucher,1,90.28
ORD000109,credit_card,6,238.5
ORD000110,credit_card,1,244.36
ORD000111,debit_card,1,746.74
ORD000112,debit_card,1,573.82
ORD000113,boleto,1,1238.44
ORD000114,credit_card,3,1438.2
ORD000115,debit_card,1,1357.16
ORD000116,debit_card,1,548.62
ORD000117,credit_card,2,505.81
ORD000118,boleto,1,390.0
ORD000119,credit_card,6,1530.16
ORD000120,voucher,1,726.92
ORD000121,debit_card,1,856.2
ORD000122,debit_card,1,273.87
ORD000123,credit_card,1,503.59
ORD000124,credit_card,1,111.18
ORD000125,credit_card,2,443.96
ORD000126,credit_card,3,140.47
ORD000127,credit_card,2,371.6
ORD000128,debit_card,1,222.89
ORD000129,debit_card,1,304.0
ORD000130,debit_card,1,30.85
ORD000131,debit_card,1,1838.27
ORD000132,voucher,1,245.11
ORD000133,debit_card,1,469.38
ORD000134,credit_card,3,386.59
ORD000135,credit_card,6,867.46
ORD000136,credit_card,6,1016.65
ORD000137,credit_card,1,1163.7
ORD000138,credit_card,6,52.22
ORD000139,credit_card,6,1296.93
ORD000140,debit_card,1,216.2
ORD000141,boleto,1,107.94
ORD000142,boleto,1,460.56
ORD000143,credit_card,3,303.64
ORD000144,credit_card,1,703.35
ORD000145,boleto,1,1181.69
ORD000146,boleto,1,91.42
ORD000147,credit_card,1,470.26
ORD000148,credit_card,1,48.76
ORD000149,credit_card,6,829.8
ORD000150,credit_card,2,184.89
ORD000151,credit_card,3,1674.76
ORD000152,debit_card,1,913.97
ORD000153,boleto,1,275.41
ORD000154,credit_card,3,386.92
ORD000155,voucher,1,152.8
ORD000156,credit_card,2,217.23
ORD000157,debit_card,1,117.85
ORD000158,voucher,1,1505.68
ORD000159,credit_card,3,246.32
ORD000160,credit_card,1,240.93
ORD000161,credit_card,2,1288.23
ORD000162,credit_card,2,60.22
ORD000163,debit_card,1,1030.0
ORD000164,credit_card,6,704.27
ORD000165,voucher,1,456.22
ORD000166,credit_card,6,1278.08
ORD000167,voucher,1,1001.19
ORD000168,credit_card,10,98.63
ORD000169,credit_card,3,47.31
ORD000170,voucher,1,221.03
ORD000171,credit_card,3,16.72
ORD000172,voucher,1,139.05
ORD000173,debit_card,1,478.75
ORD000174,boleto,1,488.07
ORD000175,credit_card,3,32.05
ORD000176,credit_card,1,144.72
ORD000177,credit_card,2,167.45
ORD000178,credit_card,1,760.32
ORD000179,credit_card,1,70.69
ORD000180,credit_card,1,161.74
ORD000181,debit_card,1,188.36
ORD000182,credit_card,2,193.57
ORD000183,credit_card,6,41.84
ORD000184,credit_card,2,62.08
ORD000185,credit_card,2,2547.31
ORD000186,credit_card,3,138.78
ORD000187,credit_card,3,1162.13
ORD000188,debit_card,1,189.77
ORD000189,credit_card,2,493.16
ORD000190,boleto,1,443.54
ORD000191,credit_card,6,167.1
ORD000192,credit_card,10,919.47
ORD000193,debit_card,1,3553.4
ORD000194,credit_card,3,1476.57
ORD000195,credit_card,10,34.86
ORD000196,voucher,1,80.86
ORD000197,boleto,1,1088.55
ORD000198,voucher,1,677.74
ORD000199,credit_card,1,427.94
ORD000200,credit_card,2,99.53
ORD000201,boleto,1,364.16
ORD000202,credit_card,2,298.25
ORD000203,credit_card,3,250.06
ORD000204,credit_card,1,291.73
ORD000205,credit_card,1,391.49
ORD000206,credit_card,2,90.77
ORD000207,credit_card,10,1401.41
ORD000208,credit_card,6,56.85
ORD000209,debit_card,1,68.57
ORD000210,debit_card,1,893.01
ORD000211,debit_card,1,331.91
ORD000212,voucher,1,573.62
ORD000213,credit_card,2,417.7
ORD000214,credit_card,2,1112.29
ORD000215,credit_card,6,88.76
ORD000216,debit_card,1,794.25
ORD000217,credit_card,1,958.77
ORD000218,debit_card,1,263.67
ORD000219,debit_card,1,569.47
ORD000220,boleto,1,2038.74
ORD000221,voucher,1,871.48
ORD000222,credit_card,6,170.13
ORD000223,credit_card,1,74.05
ORD000224,debit_card,1,131.97
ORD000225,credit_card,6,798.14
ORD000226,voucher,1,832.7
ORD000227,boleto,1,35.93
ORD000228,credit_card,1,155.99
ORD000229,credit_card,6,1278.2
ORD000230,credit_card,2,187.4
ORD000231,voucher,1,277.43
ORD000232,credit_card,10,1286.92
ORD000233,credit_card,1,144.63
ORD000234,credit_card,2,71.87
ORD000235,credit_card,6,476.83
ORD000236,credit_card,10,250.02
ORD000237,credit_card,1,690.21
ORD000238,boleto,1,60.67
ORD000239,boleto,1,144.78
ORD000240,credit_card,10,105.74
ORD000241,debit_card,1,258.02
ORD000242,boleto,1,792.39
ORD000243,credit_card,10,653.81
ORD000244,credit_card,3,70.94
ORD000245,debit_card,1,648.14
ORD000246,credit_card,3,51.95
ORD000247,credit_card,2,115.55
ORD000248,debit_card,1,220.4
ORD000249,voucher,1,367.68
ORD000250,debit_card,1,108.37
ORD000251,boleto,1,144.84
ORD000252,credit_card,3,878.2
ORD000253,credit_card,10,85.73
ORD000254,credit_card,1,91.07
ORD000255,debit_card,1,119.56
ORD000256,credit_card,1,153.7
ORD000257,debit_card,1,49.02
ORD000258,credit_card,3,2193.47
ORD000259,boleto,1,401.47
ORD000260,boleto,1,274.88
ORD000261,credit_card,1,1108.56
ORD000262,debit_card,1,40.93
ORD000263,credit_card,3,658.39
ORD000264,voucher,1,62.81
ORD000265,debit_card,1,1810.99
ORD000266,credit_card,1,744.81
ORD000267,credit_card,2,62.47
ORD000268,credit_card,10,21.05
ORD000269,credit_card,1,441.18
ORD000270,credit_card,6,115.2
ORD000271,debit_card,1,45.45
ORD000272,voucher,1,337.38
ORD000273,credit_card,1,1231.13
ORD000274,boleto,1,79.54
ORD000275,credit_card,3,531.1
ORD000276,credit_card,1,115.15
ORD000277,credit_card,1,92.89
ORD000278,credit_card,1,71.58
ORD000279,credit_card,2,895.46
ORD000280,credit_card,3,2686.82
ORD000281,credit_card,10,81.79
ORD000282,debit_card,1,505.12
ORD000283,credit_card,3,1101.7
ORD000284,credit_card,2,377.78
ORD000285,voucher,1,203.05
ORD000286,boleto,1,403.45
ORD000287,boleto,1,526.72
ORD000288,debit_card,1,37.87
ORD000289,boleto,1,388.31
ORD000290,credit_card,6,252.58
ORD000291,boleto,1,213.7
ORD000292,credit_card,3,79.59
ORD000293,credit_card,2,168.24
ORD000294,credit_card,3,188.49
ORD000295,credit_card,2,1536.19
ORD000296,credit_card,6,873.47
ORD000297,credit_card,2,168.61
ORD000298,credit_card,2,1356.26
ORD000299,credit_card,1,377.99
ORD000300,debit_card,1,112.26
ORD000301,debit_card,1,61.54
ORD000302,credit_card,1,54.3
ORD000303,credit_card,1,495.78
ORD000304,credit_card,2,1213.93
ORD000305,credit_card,10,131.15
ORD000306,credit_card,3,180.92
ORD000307,debit_card,1,1284.67
ORD000308,credit_card,3,791.49
ORD000309,credit_card,1,452.35
ORD000310,debit_card,1,78.33
ORD000311,credit_card,2,424.92
ORD000312,credit_card,3,758.33
ORD000313,credit_card,1,60.62
ORD000314,credit_card,1,329.42
ORD000315,credit_card,6,1559.07
ORD000316,boleto,1,348.97
ORD000317,boleto,1,140.76
ORD000318,voucher,1,358.16
ORD000319,credit_card,1,64.83
ORD000320,credit_card,1,72.14
ORD000321,credit_card,2,276.1
ORD000322,debit_card,1,87.27
ORD000323,boleto,1,23.49
ORD000324,voucher,1,101.12
ORD000325,credit_card,2,316.07
ORD000326,credit_card,1,205.43
ORD000327,credit_card,2,120.31
ORD000328,credit_card,2,73.01
ORD000329,debit_card,1,866.82
ORD000330,debit_card,1,68.48
ORD000331,credit_card,2,179.59
ORD000332,debit_card,1,154.9
ORD000333,boleto,1,568.95
ORD000334,credit_card,3,27.82
ORD000335,credit_card,3,155.35
ORD000336,voucher,1,533.88
ORD000337,boleto,1,97.5
ORD000338,credit_card,1,1454.05
ORD000339,credit_card,6,168.63
ORD000340,debit_card,1,606.25
ORD000341,boleto,1,862.84
ORD000342,boleto,1,32.68
ORD000343,credit_card,2,143.1
ORD000344,debit_card,1,293.01
ORD000345,credit_card,1,331.63
ORD000346,debit_card,1,97.35
ORD000347,voucher,1,48.75
ORD000348,debit_card,1,213.65
ORD000349,boleto,1,1914.7
ORD000350,credit_card,1,609.64
ORD000351,voucher,1,1209.11
ORD000352,debit_card,1,189.67
ORD000353,voucher,1,1042.87
ORD000354,debit_card,1,296.71
ORD000355,debit_card,1,1506.91
ORD000356,credit_card,6,64.73
ORD000357,credit_card,1,101.59
ORD000358,credit_card,1,2104.86
ORD000359,debit_card,1,963.8
ORD000360,voucher,1,836.66
ORD000361,debit_card,1,209.24
ORD000362,credit_card,2,983.21
ORD000363,debit_card,1,579.73
ORD000364,credit_card,1,228.02
ORD000365,credit_card,1,2789.67
ORD000366,voucher,1,209.18
ORD000367,credit_card,1,40.33
ORD000368,credit_card,6,854.3
ORD000369,boleto,1,77.47
ORD000370,debit_card,1,1181.75
ORD000371,credit_card,2,416.25
ORD000372,boleto,1,187.74
ORD000373,credit_card,2,72.79
ORD000374,credit_card,6,524.35
ORD000375,credit_card,1,603.36
ORD000376,credit_card,1,331.84
ORD000377,boleto,1,624.2
ORD000378,voucher,1,155.25
ORD000379,boleto,1,388.79
ORD000380,voucher,1,157.6
ORD000381,credit_card,1,935.22
ORD000382,credit_card,2,245.47
ORD000383,voucher,1,397.2
ORD000384,debit_card,1,116.43
ORD000385,credit_card,1,314.86
ORD000386,debit_card,1,55.71
ORD000387,voucher,1,139.98
ORD000388,boleto,1,343.73
ORD000389,credit_card,1,197.73
ORD000390,voucher,1,684.16
ORD000391,boleto,1,933.83
ORD000392,debit_card,1,715.07
ORD000393,debit_card,1,427.94
ORD000394,credit_card,2,225.79
ORD000395,credit_card,1,513.19
ORD000396,credit_card,2,1966.21
ORD000397,boleto,1,106.8
ORD000398,credit_card,1,271.92
ORD000399,credit_card,2,1653.64
ORD000400,boleto,1,150.63
ORD000401,credit_card,1,159.07
ORD000402,credit_card,1,390.48
ORD000403,credit_card,3,428.45
ORD000404,boleto,1,158.6
ORD000405,debit_card,1,67.63
ORD000406,credit_card,1,36.99
ORD000407,boleto,1,173.96
ORD000408,debit_card,1,859.81
ORD000409,credit_card,6,1740.76
ORD000410,boleto,1,290.29
ORD000411,credit_card,3,43.73
ORD000412,credit_card,1,298.67
ORD000413,credit_card,6,534.91
ORD000414,credit_card,2,471.2
ORD000415,credit_card,2,1040.7
ORD000416,voucher,1,362.01
ORD000417,credit_card,2,221.04
ORD000418,boleto,1,58.32
ORD000419,debit_card,1,1076.37
ORD000420,credit_card,2,200.29
ORD000421,debit_card,1,76.13
ORD000422,credit_card,10,213.12
ORD000423,credit_card,1,330.05
ORD000424,debit_card,1,858.2
ORD000425,credit_card,1,454.67
ORD000426,credit_card,1,198.99
ORD000427,debit_card,1,1525.67
ORD000428,credit_card,3,1038.29
ORD000429,credit_card,2,1609.8
ORD000430,boleto,1,70.28
ORD000431,credit_card,2,149.73
ORD000432,credit_card,3,823.09
ORD000433,voucher,1,626.98
ORD000434,debit_card,1,122.27
ORD000435,boleto,1,130.97
ORD000436,boleto,1,227.91
ORD000437,debit_card,1,190.34
ORD000438,credit_card,1,336.96
ORD000439,credit_card,10,82.55
ORD000440,debit_card,1,1010.56
ORD000441,credit_card,1,600.75
ORD000442,credit_card,1,1687.67
ORD000443,debit_card,1,271.72
ORD000444,debit_card,1,1097.55
ORD000445,boleto,1,306.79
ORD000446,credit_card,1,77.7
ORD000447,boleto,1,894.03
ORD000448,debit_card,1,319.74
ORD000449,credit_card,1,146.31
ORD000450,credit_card,1,238.92
ORD000451,boleto,1,261.45
ORD000452,credit_card,2,194.77
ORD000453,debit_card,1,40.96
ORD000454,credit_card,10,724.45
ORD000455,credit_card,1,204.75
ORD000456,credit_card,1,87.86
ORD000457,boleto,1,243.31
ORD000458,credit_card,10,390.34
ORD000459,voucher,1,719.84
ORD000460,credit_card,6,1202.02
ORD000461,credit_card,6,1521.76
ORD000462,credit_card,2,319.65
ORD000463,boleto,1,271.84
ORD000464,credit_card,2,157.85
ORD000465,boleto,1,439.64
ORD000466,credit_card,1,499.79
ORD000467,boleto,1,1032.43
ORD000468,credit_card,1,546.72
ORD000469,credit_card,1,1587.64
ORD000470,credit_card,2,290.81
ORD000471,credit_card,2,1162.75
ORD000472,voucher,1,253.28
ORD000473,boleto,1,2428.45
ORD000474,boleto,1,518.47
ORD000475,credit_card,3,1380.85
ORD000476,debit_card,1,561.18
ORD000477,voucher,1,302.35
ORD000478,credit_card,6,155.98
ORD000479,credit_card,3,1334.67
ORD000480,boleto,1,71.18
ORD000481,boleto,1,392.66
ORD000482,boleto,1,102.59
ORD000483,credit_card,1,984.55
ORD000484,credit_card,1,41.3
ORD000485,credit_card,2,280.6
ORD000486,credit_card,2,119.4
ORD000487,voucher,1,119.44
ORD000488,credit_card,2,732.64
ORD000489,credit_card,6,489.89
ORD000490,credit_card,10,267.51
ORD000491,credit_card,1,1060.76
ORD000492,debit_card,1,81.68
ORD000493,credit_card,2,858.3
ORD000494,boleto,1,41.69
ORD000495,credit_card,1,185.76
ORD000496,boleto,1,727.04
ORD000497,boleto,1,993.73
ORD000498,credit_card,2,778.63
ORD000499,credit_card,1,533.05
ORD000500,credit_card,2,130.84
ORD000501,credit_card,1,344.25
ORD000502,debit_card,1,428.2
ORD000503,credit_card,6,146.23
ORD000504,boleto,1,478.08
ORD000505,credit_card,3,562.95
ORD000506,debit_card,1,329.48
ORD000507,credit_card,2,122.36
ORD000508,credit_card,2,371.05
ORD000509,debit_card,1,2182.92
ORD000510,credit_card,3,184.47
ORD000511,boleto,1,387.54
ORD000512,debit_card,1,134.11
ORD000513,credit_card,1,628.49
ORD000514,credit_card,3,137.73
ORD000515,credit_card,1,308.41
ORD000516,credit_card,1,33.38
ORD000517,credit_card,10,892.29
ORD000518,boleto,1,206.05
ORD000519,credit_card,6,409.15
ORD000520,boleto,1,186.9
ORD000521,debit_card,1,1462.0
ORD000522,debit_card,1,170.27
ORD000523,credit_card,2,1027.89
ORD000524,credit_card,10,886.08
ORD000525,debit_card,1,1410.18
ORD000526,debit_card,1,418.94
ORD000527,debit_card,1,776.37
ORD000528,boleto,1,64.28
ORD000529,credit_card,1,483.96
ORD000530,credit_card,2,177.68
ORD000531,boleto,1,1408.69
ORD000532,boleto,1,453.77
ORD000533,voucher,1,240.24
ORD000534,boleto,1,68.94
ORD000535,voucher,1,459.88
ORD000536,boleto,1,152.31
ORD000537,debit_card,1,752.18
ORD000538,debit_card,1,899.75
ORD000539,debit_card,1,80.42
ORD000540,debit_card,1,1579.16
ORD000541,boleto,1,45.52
ORD000542,boleto,1,406.01
ORD000543,voucher,1,118.22
ORD000544,boleto,1,157.9
ORD000545,voucher,1,2489.21
ORD000546,credit_card,1,35.06
ORD000547,boleto,1,2461.09
ORD000548,voucher,1,110.52
ORD000549,boleto,1,103.02
ORD000550,debit_card,1,271.93
ORD000551,credit_card,1,100.88
ORD000552,debit_card,1,65.21
ORD000553,credit_card,6,213.43
ORD000554,credit_card,3,45.25
ORD000555,credit_card,2,1282.24
ORD000556,boleto,1,781.28
ORD000557,voucher,1,491.55
ORD000558,debit_card,1,39.78
ORD000559,boleto,1,483.34
ORD000560,credit_card,3,384.34
ORD000561,debit_card,1,387.39
ORD000562,credit_card,6,131.92
ORD000563,debit_card,1,472.48
ORD000564,debit_card,1,277.3
ORD000565,debit_card,1,123.66
ORD000566,debit_card,1,118.61
ORD000567,voucher,1,59.84
ORD000568,debit_card,1,356.8
ORD000569,debit_card,1,613.21
ORD000570,credit_card,1,72.97
ORD000571,debit_card,1,87.39
ORD000572,boleto,1,232.44
ORD000573,credit_card,1,793.19
ORD000574,boleto,1,274.47
ORD000575,voucher,1,472.72
ORD000576,credit_card,2,1561.35
ORD000577,boleto,1,46.42
ORD000578,debit_card,1,138.79
ORD000579,credit_card,2,75.2
ORD000580,boleto,1,369.17
ORD000581,debit_card,1,798.61
ORD000582,boleto,1,1900.8
ORD000583,credit_card,1,103.12
ORD000584,voucher,1,28.73
ORD000585,credit_card,10,143.09
ORD000586,debit_card,1,40.17
ORD000587,boleto,1,318.14
ORD000588,credit_card,6,1485.62
ORD000589,voucher,1,281.66
ORD000590,credit_card,10,237.68
ORD000591,credit_card,2,1302.8
ORD000592,voucher,1,2098.25
ORD000593,credit_card,6,106.47
ORD000594,credit_card,1,265.94
ORD000595,credit_card,6,144.51
ORD000596,boleto,1,132.51
ORD000597,credit_card,1,154.33
ORD000598,credit_card,2,388.64
ORD000599,credit_card,1,1220.43
ORD000600,voucher,1,784.73
ORD000601,credit_card,2,398.07
ORD000602,credit_card,1,48.66
ORD000603,credit_card,1,288.65
ORD000604,debit_card,1,426.11
ORD000605,credit_card,1,937.71
ORD000606,credit_card,1,35.95
ORD000607,credit_card,1,924.61
ORD000608,boleto,1,2157.04
ORD000609,boleto,1,944.07
ORD000610,credit_card,2,1324.43
ORD000611,debit_card,1,332.99
ORD000612,credit_card,2,188.65
ORD000613,credit_card,1,520.83
ORD000614,credit_card,1,681.8
ORD000615,boleto,1,279.96
ORD000616,debit_card,1,25.49
ORD000617,credit_card,1,144.73
ORD000618,boleto,1,956.2
ORD000619,credit_card,1,1007.94
ORD000620,credit_card,2,210.12
ORD000621,boleto,1,61.75
ORD000622,credit_card,1,100.03
ORD000623,debit_card,1,277.04
ORD000624,credit_card,3,473.0
ORD000625,credit_card,1,740.44
ORD000626,boleto,1,277.4
ORD000627,boleto,1,2225.74
ORD000628,debit_card,1,59.6
ORD000629,debit_card,1,663.35
ORD000630,debit_card,1,156.35
ORD000631,boleto,1,1320.64
ORD000632,credit_card,1,136.19
ORD000633,credit_card,3,168.86
ORD000634,voucher,1,150.99
ORD000635,credit_card,6,2931.22
ORD000636,debit_card,1,933.0
ORD000637,debit_card,1,459.92
ORD000638,boleto,1,252.31
ORD000639,credit_card,3,221.29
ORD000640,credit_card,2,238.33
ORD000641,voucher,1,797.73
ORD000642,voucher,1,50.77
ORD000643,credit_card,2,109.55
ORD000644,debit_card,1,223.5
ORD000645,credit_card,1,1681.6
ORD000646,credit_card,2,84.83
ORD000647,debit_card,1,132.53
ORD000648,credit_card,1,493.3
ORD000649,credit_card,6,1028.69
ORD000650,boleto,1,148.1
ORD000651,credit_card,6,159.05
ORD000652,credit_card,10,187.71
ORD000653,boleto,1,237.25
ORD000654,credit_card,1,391.65
ORD000655,debit_card,1,63.2
ORD000656,credit_card,10,1487.07
ORD000657,debit_card,1,106.09
ORD000658,credit_card,1,448.69
ORD000659,credit_card,1,384.09
ORD000660,credit_card,3,28.85
ORD000661,debit_card,1,47.8
ORD000662,voucher,1,265.69
ORD000663,credit_card,1,71.73
ORD000664,debit_card,1,31.53
ORD000665,credit_card,3,187.43
ORD000666,credit_card,6,1044.35
ORD000667,credit_card,3,157.14
ORD000668,debit_card,1,801.03
ORD000669,credit_card,6,99.52
ORD000670,credit_card,10,353.17
ORD000671,credit_card,1,87.11
ORD000672,credit_card,2,188.78
ORD000673,credit_card,2,795.62
ORD000674,voucher,1,410.86
ORD000675,credit_card,1,141.07
ORD000676,boleto,1,577.06
ORD000677,credit_card,10,212.19
ORD000678,credit_card,3,1197.15
ORD000679,credit_card,1,301.38
ORD000680,credit_card,1,392.34
ORD000681,credit_card,3,726.16
ORD000682,credit_card,2,228.33
ORD000683,credit_card,1,915.07
ORD000684,credit_card,1,583.66
ORD000685,boleto,1,161.78
ORD000686,voucher,1,96.76
ORD000687,debit_card,1,407.57
ORD000688,credit_card,1,131.27
ORD000689,credit_card,2,97.52
ORD000690,voucher,1,89.09
ORD000691,debit_card,1,189.05
ORD000692,boleto,1,1710.88
ORD000693,credit_card,2,212.08
ORD000694,debit_card,1,503.55
ORD000695,debit_card,1,58.6
ORD000696,credit_card,6,750.67
ORD000697,voucher,1,1279.18
ORD000698,boleto,1,180.55
ORD000699,boleto,1,631.54
ORD000700,credit_card,6,84.29
ORD000701,boleto,1,88.86
ORD000702,debit_card,1,514.8
ORD000703,credit_card,1,93.05
ORD000704,credit_card,2,292.08
ORD000705,credit_card,1,920.96
ORD000706,boleto,1,62.51
ORD000707,credit_card,1,155.48
ORD000708,voucher,1,374.08
ORD000709,credit_card,1,22.81
ORD000710,credit_card,1,457.05
ORD000711,debit_card,1,466.86
ORD000712,credit_card,3,1876.84
ORD000713,credit_card,3,687.34
ORD000714,boleto,1,389.61
ORD000715,debit_card,1,381.57
ORD000716,credit_card,2,290.77
ORD000717,boleto,1,143.9
ORD000718,credit_card,1,824.06
ORD000719,credit_card,6,76.84
ORD000720,credit_card,1,83.65
ORD000721,debit_card,1,1338.47
ORD000722,debit_card,1,251.96
ORD000723,boleto,1,318.19
ORD000724,credit_card,1,254.62
ORD000725,credit_card,2,892.4
ORD000726,credit_card,2,1492.04
ORD000727,credit_card,2,231.17
ORD000728,boleto,1,828.24
ORD000729,debit_card,1,483.02
ORD000730,credit_card,3,44.28
ORD000731,credit_card,6,2152.21
ORD000732,boleto,1,834.38
ORD000733,debit_card,1,139.17
ORD000734,boleto,1,98.23
ORD000735,credit_card,6,654.62
ORD000736,credit_card,1,136.65
ORD000737,voucher,1,970.89
ORD000738,credit_card,1,888.0
ORD000739,voucher,1,284.15
ORD000740,voucher,1,43.58
ORD000741,credit_card,6,943.7
ORD000742,debit_card,1,168.47
ORD000743,credit_card,2,105.61
ORD000744,credit_card,6,693.93
ORD000745,debit_card,1,601.66
ORD000746,credit_card,3,27.15
ORD000747,debit_card,1,726.36
ORD000748,credit_card,10,214.92
ORD000749,credit_card,10,40.4
ORD000750,credit_card,1,2708.56
ORD000751,voucher,1,101.76
ORD000752,credit_card,1,398.33
ORD000753,debit_card,1,2033.37
ORD000754,boleto,1,70.32
ORD000755,credit_card,2,1020.28
ORD000756,debit_card,1,303.7
ORD000757,credit_card,6,1142.14
ORD000758,credit_card,6,253.89
ORD000759,credit_card,3,41.06
ORD000760,debit_card,1,175.64
ORD000761,debit_card,1,795.27
ORD000762,debit_card,1,155.37
ORD000763,credit_card,10,49.36
ORD000764,credit_card,2,1460.17
ORD000765,debit_card,1,779.99
ORD000766,credit_card,1,43.94
ORD000767,credit_card,2,894.44
ORD000768,boleto,1,386.92
ORD000769,credit_card,2,2105.08
ORD000770,credit_card,1,106.03
ORD000771,credit_card,1,55.96
ORD000772,debit_card,1,109.72
ORD000773,credit_card,10,426.82
ORD000774,voucher,1,1402.31
ORD000775,credit_card,10,180.45
ORD000776,voucher,1,250.07
ORD000777,debit_card,1,553.82
ORD000778,debit_card,1,985.54
ORD000779,credit_card,1,200.49
ORD000780,credit_card,2,177.39
ORD000781,debit_card,1,194.63
ORD000782,debit_card,1,418.28
ORD000783,debit_card,1,1960.46
ORD000784,boleto,1,610.28
ORD000785,credit_card,2,149.73
ORD000786,credit_card,2,2795.43
ORD000787,debit_card,1,64.45
ORD000788,credit_card,1,1246.93
ORD000789,debit_card,1,774.84
ORD000790,credit_card,6,60.65
ORD000791,boleto,1,455.06
ORD000792,credit_card,2,629.62
ORD000793,credit_card,6,953.93
ORD000794,boleto,1,2443.99
ORD000795,credit_card,1,182.04
ORD000796,credit_card,1,226.16
ORD000797,debit_card,1,274.51
ORD000798,debit_card,1,1130.85
ORD000799,credit_card,6,164.85
ORD000800,credit_card,1,842.97
ORD000801,boleto,1,139.33
ORD000802,voucher,1,804.85
ORD000803,voucher,1,1348.39
ORD000804,credit_card,1,1885.31
ORD000805,boleto,1,180.58
ORD000806,boleto,1,1330.7
ORD000807,debit_card,1,580.07
ORD000808,debit_card,1,91.94
ORD000809,debit_card,1,742.02
ORD000810,credit_card,6,278.06
ORD000811,credit_card,2,89.7
ORD000812,debit_card,1,1214.0
ORD000813,voucher,1,76.5
ORD000814,debit_card,1,190.24
ORD000815,debit_card,1,54.44
ORD000816,voucher,1,780.34
ORD000817,debit_card,1,154.52
ORD000818,debit_card,1,585.25
ORD000819,boleto,1,255.82
ORD000820,credit_card,2,2070.76
ORD000821,voucher,1,79.08
ORD000822,credit_card,3,71.8
ORD000823,credit_card,2,70.56
ORD000824,credit_card,1,148.06
ORD000825,credit_card,10,154.4
ORD000826,credit_card,2,231.02
